Type,title,Price VND,Price USD,Area (m2),Width,Length,bedrooms,bathrooms,district,price,,
House,"Bán Nhà Tân Chánh Hiệp Quận 12, Hẻm Oto 1 Xẹt Gần Mặt Tiền, 3 Tầng Cốt Thép Ở Ngay.",5500000000,"220,000",50,4.3,11.4,3,4,Quan 12,4400,,
House,Bán nhà HXH mới đẹp - ngang 5m - nhà 3 tầng BTCT - dọn vào ở ngay,5500000000,"220,000",50,5,10,4,2,Quan Go Vap,4400,,
Land,"Siêu phẩm mặt tiền Q12 - Đã lắp thang máy mặt tiền Tân Thới Hiệp 14, Quận 12",11000000000,"440,000",100,5,20,4,4,Quan 12,4400,,
Land,"Siêu phẩm mặt tiền Q12 - Đã lắp thang máy mặt tiền Tân Thới Hiệp 14, Quận 12",11000000000,"440,000",100,5,20,4,4,Quan 12,4400,,
House,"CĂN NHÀ PHỐ 1 TRỆT 2 LẦU PARK RIVERSIDE KHU COMPOUND CAO CẤP - NGAY NGÃ 3 LIÊN PHƯỜNG, BƯNG ÔNG",9100000000,"364,000",83,5,16.5,4,4,Thanh pho Thu Đuc,4385.54,,
House,"Bán nhà Quận Bình Thạnh, HXH Ngang 4.7 dài 12, 3 tầng 5.7 tỏi",5700000000,"228,000",52,4.8,12,3,3,Quan Binh Thanh,4384.62,,
House,"Nhà giá rẻ, mới 100%, cực xinh ở ngay, 477 Âu Cơ,2 Tầng,24m2, P Phú Trung, Quận Tân Phú,",2630000000,"105,200",24,3,8,2,2,Quan Tan Phu,4383.33,,
House,"Nhà mới đẹp 100% ở ngay, 477 Âu Cơ,2 Tầng,24m2 chỉ 2,x tỷ, P Phú Trung, Quận Tân Phú,",2630000000,"105,200",24,3,8,2,2,Quan Tan Phu,4383.33,,
House,"CHỈ 6.9 TỶ CÓ NHÀ 4.5 *14M * 4 TẦNG, Ô TÔ VÀO NHÀ, PHÚ THUẬN QUẬN 7",6900000000,"276,000",63,4.5,14,5,4,Quan 7,4380.95,,
House,"BÁN NHÀ CHIA TÀI SẢN 2 TẦNG, 66M2, RẠCH LÒ GỐM, QUẬN 6, GIÁ 7.2 TỶ - SỔ HỒNG CHÍNH CHỦ",7200000000,"288,000",66,5.5,12,3,2,Quan 6,4363.64,,
House,"LÊ ĐỨC THỌ GẦN NGUYỄN OANH - 44M2 (4X11) 3 TẦNG BTCT, 3PN - SỔ A4 - HOÀN CÔNG, CC NGAY",4790000000,"191,600",44,4,11,3,3,Quan Go Vap,4354.55,,
House,"BÁN NHÀ MẶT TIỀN NHỰA 8M, PHƯỜNG PHÚ THUẬN, QUẬN 7. 80M2",8700000000,"348,000",80,4,20,4,4,Quan 7,4350,,
House,"HXH ĐỖ CỬA THỐNG NHẤT, NGAY BV HỒNG ĐỨC, 45M2 (4x11,2),  2 TẦNG 2PN, TẶNG FULL NT Ở NGAY, KLG",4890000000,"195,600",45,4,11.2,2,2,Quan Go Vap,4346.67,,
House,"Nhà NGUYỄN ĐÌNH CHIỂU, 3 tầng, 3 phòng, 7.6 tỷ tl.",7600000000,"304,000",70,4.2,16,4,4,Quan Phu Nhuan,4342.86,,
House,"Bán nhà đẹp Lê đứcThọ Gò Vấp gần chợ Hoàng Mai  3,9 tỷ 36m2, 3 tầng, hẻm xe hơi, đang vay bank",3900000000,"156,000",36,4,10,2,3,Quan Go Vap,4333.33,,
House,"BÁN NHÀ MẶT PHỐ NGUYỄN KIỆM, P3, GÒ VẤP 60M2*2 TẦNG NHỈNH 6 TỶ.",6500000000,"260,000",60,4,15,3,2,Quan Go Vap,4333.33,Type,32000
House,"BÁN NHÀ MẶT PHỐ NGUYỄN KIỆM, P3, GÒ VẤP 60M2*2 TẦNG NHỈNH 6 TỶ.",6500000000,"260,000",60,4,15,3,2,Quan Go Vap,4333.33,House,
House,"BÁN NHÀ MẶT PHỐ NGUYỄN KIỆM, P3, GÒ VẤP 60M2*2 TẦNG NHỈNH 6 TỶ.",6500000000,"260,000",60,4,15,3,2,Quan Go Vap,4333.33,Land,
House,"BÁN NHÀ MẶT PHỐ NGUYỄN KIỆM, P3, GÒ VẤP 60M2*2 TẦNG NHỈNH 6 TỶ.",6500000000,"260,000",60,4,15,3,2,Quan Go Vap,4333.33,Apartment,
House,"BÁN NHÀ MẶT PHỐ NGUYỄN KIỆM, P3, GÒ VẤP 60M2*2 TẦNG NHỈNH 6 TỶ.",6500000000,"260,000",60,4,15,3,2,Quan Go Vap,4333.33,Villa,
House,"Rẻ Hiếm Siêu phẩm nhà phố Lê Đức Thọ - thang máy, gara ô tô, tặng full nội thất xịn",13000000000,"520,000",120,6,20,6,8,Quan Go Vap,4333.33,,
House,[CHỦ GẤP BÁN HẠ 500 triệu] - NHÀ 3 TẦNG - MẶT TIỀN ĐƯỜNG SỐ 1 - DTCN 100mv - PHÚ MỸ - QUẬN 7,10800000000,"432,000",100,5,20,4,4,Quan 7,4320,,
House,"--Bán nhà phường 8 Tân Bình, gần chợ Tân Bình, số 55 Thành Mỹ; 4,5x14",6690000000,"267,600",62,4,14,2,2,Quan Tan Binh,4316.13,,
House,"--Bán nhà phường 8 Tân Bình, hẻm 55 Thành Mỹ; 4,5x14, 1L, ngay chợ TB",6690000000,"267,600",62,4,14,2,2,Quan Tan Binh,4316.13,,
House,"Bán biệt thự khu dân cư Lavila Nhà Bè, 5,5m x 17,6m, đủ tiện ích, bảo vệ 24/24, giá 10,35 tỷ",10350000000,"414,000",96,5,19,4,5,Huyen Nha Be,4312.5,,
House,"46m2! HXH! 4,95tỷ! Bán nhà 2 tầng đúc BTCT Nơ Trang Long, P11. Phan Văn Trị, ĐH Văn Lang 0938159985",4950000000,"198,000",46,3.7,10,2,2,Quan Binh Thanh,4304.35,,
House,"Cần bán căn nhà 4 tầng 1/ Bưng Ông Thoàn, gần các khu Compound, gần Liên Phường - Tiện lên cao",6450000000,"258,000",60,4,15,4,3,Thanh pho Thu Đuc,4300,VIlla,
House,"Nhà đẹp, 3  tầng THÍCH QUẢNG ĐỨC, PN, 5.9 tỷ, 54m2",5900000000,"236,000",55,4.5,14,3,4,Quan Phu Nhuan,4290.91,,
House,"Bán nhà THÍCH QUẢNG ĐỨC, PN, 54M2, 5.9 TỶ",5900000000,"236,000",55,4.5,14,3,4,Quan Phu Nhuan,4290.91,,
House,"Mua 1 Được 2 – Nhà 3 Tầng HXH Linh Đông Ngay Sát Vành Đai 2, 6 tỷ, Ở NGAY Trước Tết",6000000000,"240,000",56,4.1,12.5,3,3,Thanh pho Thu Đuc,4285.71,,
House,Bán Nhà Đẹp Giá Nhỉnh 7 Tỷ  5Tầng 70m² Hẻm 467 Lê Đức T.họ Gò Vấp,7500000000,"300,000",70,4,17.5,4,2,Quan Go Vap,4285.71,,
House,Siêu Phẩm Đường Nơ Trang Long Quận Bình Thạnh Phường 13.,6400000000,"256,000",60,6,10,4,5,Quan Binh Thanh,4266.67,,
House,Bán nhà Phạm Văn Bạch - Gò Vấp giá ngộp cuối tháng 11/2024,7200000000,"288,000",67.5,4.5,15,5,4,Quan Go Vap,4266.67,,
House,"35m2! Oto đỗ sát cửa! Bán nhà 2 tầng Huỳnh Khương An, P5.Ngay ĐH CN4, Emart Phan Văn Trị 0938159985",3950000000,"158,000",37.2,3.1,12,2,2,Quan Go Vap,4247.31,,
House,[LÔ NHỊ ĐƯỜNG HUỲNH TẤN PHÁT] - NHÀ 4 TẦNG - CHÍNH CHỦ 1 ĐỜI - PHÚ THUẬN - QUẬN 7,6900000000,"276,000",65,5,13,4,3,Quan 7,4246.15,,
House,Bán nhà riêng 65m2 Phạm Hùng 3 tầng 3 pn 3 wc phường 4 quận 8 chỉ 6 tỷ 9?,6900000000,"276,000",65,5,13,3,3,Quan 8,4246.15,,
House,Bán nhà riêng 65m2 Phạm Hùng 3 tầng 3 pn 3 wc phường 4 quận 8 chỉ 6 tỷ 9?,6900000000,"276,000",65,5,13,3,3,Quan 8,4246.15,,
House,Bán nhà riêng 65m2 Phạm Hùng 3 tầng 3 pn 3 wc phường 4 quận 8 chỉ 6 tỷ 9?,6900000000,"276,000",65,5,13,3,3,Quan 8,4246.15,,
House,"BÁN NHÀ 2 TẦNG, 25M2, NGAY NGÃ TƯ NGUYỄN THỊ THẬP - Q.7 - GIÁ 2.6 TỶ - SỔ ĐỎ",2650000000,"106,000",25,3.5,7,2,1,Quan 7,4240,,
House,Cần bán nhà và phố Nguyễn Tất Thành Q4 có dòng tiền 10tr/ tháng,3600000000,"144,000",34,4,8,4,3,Quan 4,4235.29,,
House,Cần bán nhà và phố Nguyễn Tất Thành Q4 có dòng tiền 10tr/ tháng,3600000000,"144,000",34,4,8,4,3,Quan 4,4235.29,,
House,"Bán nhà P12, Gò Vấp mới ở ngay 5.2x13m, vuông vức, HXH, gần Nguyễn Tư Giản, chỉ 7.15 tỷ",7150000000,"286,000",67.6,5.2,13,4,5,Quan Go Vap,4230.77,,
House,"Bán nhà P12, Gò Vấp mới ở ngay 5.2x13m, vuông vức, HXH, gần Nguyễn Tư Giản, chỉ 7.15 tỷ",7150000000,"286,000",67.6,5.2,13,4,5,Quan Go Vap,4230.77,,
House,"Bán nhà P12, Gò Vấp mới ở ngay 5.2x13m, vuông vức, HXH, gần Nguyễn Tư Giản, chỉ 7.15 tỷ",7150000000,"286,000",67.6,5.2,13,4,5,Quan Go Vap,4230.77,,
House,"Bán nhà P12, Gò Vấp mới ở ngay 5.2x13m, vuông vức, HXH, gần Nguyễn Tư Giản, chỉ 7.15 tỷ",7150000000,"286,000",67.6,5.2,13,4,5,Quan Go Vap,4230.77,,
House,"Bán nhà P12, Gò Vấp mới ở ngay 5.2x13m, vuông vức, HXH, gần Nguyễn Tư Giản, chỉ 7.15 tỷ",7150000000,"286,000",67.6,5.2,13,4,5,Quan Go Vap,4230.77,,
Apartment,"The Opus One 2PN 5.4 tỷ -3PN 7.6 tỷ view đẹp, tầng cao, Vinhome Grand Park, Thủ Đức.",5600000000,"224,000",53,5,13,2,2,Quan 9,4226.42,,
Apartment,"Chính thức mở bán khu Opus One trực tiếp CĐT, còn 5 suất chiết khấu 11%, ưu đãi 200 triệu",5600000000,"224,000",53,5,13,2,2,Quan 9,4226.42,,
Apartment,"Hàng thưởng 10 Căn 3PN The Opus One View Công Viên giá tốt Vinhome Grand Park, Quận 9",5600000000,"224,000",53,5,13,2,2,Quan 9,4226.42,,
House,"Bán Nhà Gần Công Viên Làng Hoa, Hẻm Xe Hơi, 51m2, 2 Tầng - Dọn Vào Ở Ngay - NHỈNH 5ty6",5600000000,"224,000",53,4,14,2,2,Quan Go Vap,4226.42,,
House,"Bán Nhà Gần Công Viên Làng Hoa – 51m2, 2 Tầng, Hẻm Xe Hơi - Nhỉnh 5 ty6",5600000000,"224,000",53,4,14,2,2,Quan Go Vap,4226.42,,
House,"Nhà 3 tầng Trần Văn Quang, ngang gần 6m, 57m2, hẻm xe hơi, khu VIP, giá chỉ 6 tỷ hơn",6000000000,"240,000",57,6,10,3,4,Quan Tan Binh,4210.53,,
Villa,"BIỆT THỰ 3 TẦNG NGANG 14M DÀI 19M LÂM VĂN BỀN TÂN KIỂNG QUẬN 7, CHỈ 28 TỶ, SỔ HOÀN CÔNG VUÔNG VỨC",28000000000,"1,120,000",266,14,19,4,5,Quan 7,4210.53,,
House,"BÁN NHÀ HẺM 5M –  PHẠM VĂN ĐỒNG, HIỆP BÌNH CHÁNH, THỦ ĐỨC - 40M² (3.6x11m) - 2PN - GIÁ CHỈ 4.2 TỶ",4200000000,"168,000",40,3.6,11,2,2,Thanh pho Thu Đuc,4200,,
House,BÁN NHÀ PHÚ THỌ HÒA - TÂN PHÚ 40M2 - NGANG 5M. NHỈNH 4 TỶ,4200000000,"168,000",40,5,8,5,3,Quan Tan Phu,4200,,
House,Bán Nhà hẻm xe tải thông 4 tầng  Đường Số 6. BHHB. Quận Bình Tân giá 4 tỷ 2.,4200000000,"168,000",40,4,10,4,3,Quan Binh Tan,4200,,
House,"Nhà Lê Đức Thọ Gò Vấp chỉ 4,2 tỷ tới 40m2, 2 tầng , hẻm xe hơi, khu dân trí, tiện ích xung quanh",4200000000,"168,000",40,4,10,2,2,Quan Go Vap,4200,,
House,Nhà 4Tầng BTCT Ngay Nguyễn Văn Khối - Hẻm Xe Hơi 1Trục Gần Mặt Tiền - CV Làng Hoa - 4x15 Vuông A4,6300000000,"252,000",60,4,15,4,4,Quan Go Vap,4200,,
House,🔥 NHÀ ĐẸP RỰC RỠ - HẺM XE HƠI - GẦN CHỢ - GẦN HIM LAM - 4x15 - 4 TẦNG - HƠN 6 TỶ,6300000000,"252,000",60,4,15,4,4,Quan 7,4200,,
House,"Nhà mới 6 lầu, 7PN có thang máy (5x20) Mặt tiền Tân Thới Hiệp 15, Q12 giá 10.49 tỷ",10490000000,"419,600",100,5,20,7,7,Quan 12,4196,,
House,"5 tầng lô Góc Đồ Sộ có 6,3 tỷ Quang Trung Phường 14 Gò Vấp Hồ Chí Minh",6600000000,"264,000",63,411,14,5,4,Quan Go Vap,4190.48,,
House,"Chính Chủ Bán Gấp Nhà 3 Tầng Mới Thủ Đức, Giá Nhỉnh 8 Tỷ, Vị Trí Vàng, Tặng Nội Thất Xịn",8900000000,"356,000",85,5,17,5,6,Thanh pho Thu Đuc,4188.24,,
House,"T010 - 
NHÀ BÌNH TÂN CHỈ 4TỶ600 👉 NHÀ ĐẸP LUNG LINH - NHÀ MỚI 3 TẦNG - SÁT LÊ VĂN QUỚI - GIÁP TÂN",4600000000,"184,000",44,4,11,4,4,Quan Binh Tan,4181.82,,
House,"Nhà 4 tầng BTCT Ôtô đậu cách 10m Bùi Minh Trực P6Q8. Giá 4,28 tỷ TL",4280000000,"171,200",41,4.5,9,2,2,Quan 8,4175.61,,
House,"Bán nhà Thống Nhất Gò Vấp chỉ 3,85 tỷ 37m2, 2 tầng, hẻm ba gác gần chợ Xóm Mới",3850000000,"154,000",37,3.5,10.5,2,2,Quan Go Vap,4162.16,,
House,"Sát Q1! 80m2! HXH! Bán nhà Phan Đình Phùng, P1. Ngay ngã tư Phú Nhuận, Huỳnh Văn Bánh. 0938.159985",8300000000,"332,000",80,3.2,24,4,2,Quan Phu Nhuan,4150,,
House,Đường Quang Trung Quận Gò Vấp Phường 14.,5600000000,"224,000",54,3.9,14,4,5,Quan Go Vap,4148.15,,
House,"Bná nhà Gò Vấp- Phan Huy Ich ,2T,  ngang 4 dài 14.5m, xe hơi ngủ trong nhà, pháp lý chuẩn, 5.95t",5900000000,"236,000",57,4,14.5,2,2,Quan Go Vap,4140.35,,
House,NHÀ 2 TẦNG - LÊ VĂN QUỚI - HẺM AN NINH - CHỈ HƠN 3 TỶ,3100000000,"124,000",30,5,10,3,3,Quan Binh Tan,4133.33,,
House,NHÀ 2 TẦNG - AO ĐÔI - HẺM XE HƠI - CHỈ HƠN 3 TỶ,3100000000,"124,000",30,5,10,3,3,Quan Binh Tan,4133.33,,
House,NHÀ 2 TẦNG - MÃ LÒ - HẺM XE HƠI - CHỈ HƠN 3 TỶ,3100000000,"124,000",30,5,10,3,3,Quan Binh Tan,4133.33,,
House,NHÀ 2 TẦNG - AO ĐÔI - HẺM XE HƠI - CHỈ HƠN 3 TỶ,3100000000,"124,000",30,5,10,3,3,Quan Binh Tan,4133.33,,
House,NHÀ 2 TẦNG - CHIẾN LƯỢC - HẺM XE HƠI - CHỈ HƠN 3 TỶ,3100000000,"124,000",30,5,10,3,3,Quan Binh Tan,4133.33,,
House,NHÀ 2 TẦNG - MÃ LÒ - HẺM XE HƠI - CHỈ HƠN 3 TỶ,3100000000,"124,000",30,5,10,3,3,Quan Binh Tan,4133.33,,
House,Bán nhà 2 tầng 30m2 Hương Lô 3 BHH giá 3 tỷ 1,3100000000,"124,000",30,3,10,2,2,Quan Binh Tan,4133.33,,
House,NHÀ 2 TẦNG - CHIẾN LƯỢC - HẺM XE HƠI - CHỈ HƠN 3 TỶ,3100000000,"124,000",30,5,10,3,3,Quan Binh Tan,4133.33,,
House,NHÀ 2 TẦNG - BÌNH TRỊ ĐÔNG - HẺM XE HƠI - CHỈ HƠN 3 TỶ,3100000000,"124,000",30,5,10,3,3,Quan Binh Tan,4133.33,,
House,33M2 2 TẦNG MỚI ĐẸP Ở NGAY - HẺM THÔNG GẦN 4M 3.4 TỶ,3400000000,"136,000",33,3,11,2,2,Quan 6,4121.21,,
House,"100tr/m2! 164m2! Bán nhà Nơ Trang Long, P13. Nguyễn Xí, Phan Chu Trinh, Phạm Văn Đồng. 0938.159985",17500000000,"700,000",170,8.5,20,2,2,Quan Binh Thanh,4117.65,,
Apartment,CĂN GÓC 2 mặt tiền - VIEW HỒ BƠI CỰC ĐỈNH,7100000000,"284,000",69,5.5,15,4,5,Huyen Hoc Mon,4115.94,,
House,BÁN NHÀ MẶT PHỐ LÊ ĐỨC THỌ - GÒ VẤP - 13.9 TỶ - 5 TẦNG - 136M2 - SỔ HỒNG CHÍNH CHỦ,13990000000,"559,600",136,6,24,5,5,Quan Go Vap,4114.71,,
House,BÁN NHÀ MẶT PHỐ LÊ ĐỨC THỌ - GÒ VẤP - 13.9 TỶ - 5 TẦNG - 136M2 - SỔ HỒNG CHÍNH CHỦ,13990000000,"559,600",136,6,24,5,5,Quan Go Vap,4114.71,,
House,BÁN NHÀ MẶT PHỐ LÊ ĐỨC THỌ - GÒ VẤP - 13.9 TỶ - 5 TẦNG - 136M2 - SỔ HỒNG CHÍNH CHỦ,13990000000,"559,600",136,6,24,5,5,Quan Go Vap,4114.71,,
House,BÁN NHÀ MẶT PHỐ LÊ ĐỨC THỌ - GÒ VẤP - 13.9 TỶ - 5 TẦNG - 136M2 - SỔ HỒNG CHÍNH CHỦ,13990000000,"559,600",136,6,24,5,5,Quan Go Vap,4114.71,,
House,BÁN NHÀ MẶT PHỐ LÊ ĐỨC THỌ - GÒ VẤP - 13.9 TỶ - 5 TẦNG - 136M2 - SỔ HỒNG CHÍNH CHỦ,13990000000,"559,600",136,6,24,5,5,Quan Go Vap,4114.71,,
House,Bán Nhà Gò Vấp HXH 6M 8WC Gần Quang Trung 7 Tỷ Nhỏ,6990000000,"279,600",68,4,17,8,8,Quan Go Vap,4111.76,,
House,NHÀ 3 TẦNG HẺM XE HƠI 4PN ĐƯỜNG CHUYÊN DÙNG 9 P PHÚ MỸ QUẬN 7 TPHCM,3700000000,"148,000",36,4,9,4,3,Quan 7,4111.11,,
House,"BT008
SIÊU PHẨM LÊ VĂN QUỚI - NGAY NGÃ 4 BỐN XÃ - HẺM ĐẸP THÔNG - 36M2 - 2 TẦNG  - GIÁP TÂN PHÚ -",3700000000,"148,000",36,3.5,11,2,2,Quan Binh Tan,4111.11,,
House,"Bán Nhà: Nhà 4 tầng mặt tiềnTrần Thị Hè 7.5 tỷ, 4x18,5m, Đường 12m có vỉa hè. SHR vuông vứt, hoàn",7500000000,"300,000",73,4,18.5,4,5,Quan 12,4109.59,,
House,Bán nhà Bùi Đình Túy -HXH thông -(4x19)m -DT 225m2 Sàn -240/Y,7800000000,"312,000",76,4,19,4,4,Quan Binh Thanh,4105.26,,
House,BÁN NHÀ 4 tầng 78m2 có 8 tỷ Lê Đức Thọ Phường 14 Gò Vấp Hồ Chí Minh,8000000000,"320,000",78,5,155,4,5,Quan Go Vap,4102.56,,
House,"BÁN NHÀ RIÊNG Ở LÊ ĐỨC THỌ, 8 TỶ VND, 78 M2, UY TÍN - CHẤT LƯỢNG",8000000000,"320,000",78,5,15,4,5,Quan Go Vap,4102.56,,
House,40m HXH - 4.1 tỷ - Nguyễn Thị Định (Q2) - 4 Tầng,4100000000,"164,000",40,4,10,4,5,Quan 2,4100,,
House,"Bán nhà mặt tiền 2 lầu 8x28m giá 22,9 tỷ Đường Dương Thị Mười",22900000000,"916,000",224,8,28,5,4,Quan 12,4089.29,,
House,"Bán nhà 45m², 2 tầng, 3PN, Q.12, 4.6 tỷ, sổ hồng",4600000000,"184,000",45,4,12,3,2,Quan 12,4088.89,,
House,"BÁN NHÀ GẦN BỆNH VIỆN QUẬN 12 - 2 TẦNG – 45M2 (4X12) - TÂN CHÁNH HIỆP, Q12 -  CHỈ 4.6 TỶ",4600000000,"184,000",45,4,12,3,2,Quan 12,4088.89,,
House,"Bán nhà Lê Trọng Tấn sát bên trường ĐH Công nghiệp thực phảm, 2 tầng, 4x12 (48m2), giá nhỉnh 4 tỷ.",4890000000,"195,600",48,4,12,2,2,Quan Tan Phu,4075,,
House,"NHÀ BÁN ĐƯỜNG NGUYỄN VĂN NGHI NỞ HẬU 5,4M",6700000000,"268,000",66,4,14,4,3,Quan Go Vap,4060.61,,
House,BÁN NHÀ HXH TRẦN XUÂN SOẠN Q7 70M2 X 3 TẦNG 7.1TỶ. SÁT CÔNG AN P TÂN HƯNG.,7100000000,"284,000",70,7,10,6,6,Quan 7,4057.14,,
House,BÁN NHÀ MẶT TIỀN TRẦN THỊ CỜ 4X20M ĐÚC 3 TẤM GIÁ 8.1T,8100000000,"324,000",80,4,20,4,4,Quan 12,4050,,
House,BÁN NHÀ MẶT TIỀN TRẦN THỊ CỜ 4X20M ĐÚC 3 TẤM GIÁ 8.1T,8100000000,"324,000",80,4,20,4,4,Quan 12,4050,,
House,"Bán nhà 4 tầng, Hẻm 8m thông, Khu nhà cao tầng đồng bộ, Phước Long B, Quận 9",9100000000,"364,000",90,5,18,3,4,Thanh pho Thu Đuc,4044.44,,
House,"** Bán nhà HXH góc 2 mặt hẻm Lê Lai ** p12, TB 7 x 12 - 8,2 tỷ",8218000000,"328,720",82,7,12,3,2,Quan Tan Binh,4008.78,,
House,"Ni Sư Huỳnh Liên 35 m2, 2 tầng 3.5 x10  chỉ 3.5 tỷ Phường 10 Tân Bình",3500000000,"140,000",35,3.5,10,2,2,Quan Tan Binh,4000,,
House,Nhà cách chỗ đậu oto 20m Bùi Minh Trực P5Q8,3600000000,"144,000",36,3,12,1,1,Quan 8,4000,,
House,Nhà cách chỗ đậu oto 20m Bùi Minh Trực P5Q8,3600000000,"144,000",36,3,12,1,1,Quan 8,4000,,
House,"Bán nhà 1 trệt 1 lầu DT 38.2m2, hẻm  3 gác đường 9, Phường Trường Thọ, Thủ Đức, 3.8tỷ",3800000000,"152,000",38,3,13,2,1,Thanh pho Thu Đuc,4000,,
House,"SIÊU PHẨM NHÀ 2 TẦNG , NGANG 5M5 , DT 53M2 - 3PN 2WC - P6, BÌNH THẠNH - NHỈNH 5 TỶ",5500000000,"220,000",55,5.5,10,3,2,Quan Binh Thanh,4000,,
House,"SIÊU PHẨM NHÀ 2 TẦNG , NGANG 5M5 , DT 53M2 - 3PN 2WC - P6, BÌNH THẠNH - NHỈNH 5 TỶ",5500000000,"220,000",55,5.5,10,3,2,Quan Binh Thanh,4000,,
House,BÁN NHÀ - HẺM XE HƠI 2129 HUỲNH TẤN PHÁT - CÁCH ĐƯỜNG HUỲNH TẤN PHÁT 50M - CĂN GÓC 2 MẶT HẺM,6300000000,"252,000",63,4.8,13,4,3,Huyen Nha Be,4000,,
House,"Cơ Hội Sở Hứu Nhà Cuối Năm Nhà 3 Tầng Mới Thủ Đức, Giá Nhỉnh 8 Tỷ, Hoàn Công Chuẩn",8500000000,"340,000",85,5,17,5,6,Thanh pho Thu Đuc,4000,,
House,"Nhà ngọn giá cực tốt Tân Phú - Hẻm kinh doanh đắc địa sát chợ Tân Hương - 100m2, 3 tầng BTCT - Giá",10000000000,"400,000",100,5,20,4,5,Quan Tan Phu,4000,,
House,BÁN NHÀ HẬU GIANG ĐANG CÓ DÒNG TIỀN CHO THUÊ 50TR/TH - 120M2 GIÁ 12 TỶ,12000000000,"480,000",120,10,12,2,1,Quan 6,4000,,
House,BÁN NHÀ HẬU GIANG ĐANG CÓ DÒNG TIỀN CHO THUÊ 50TR/TH - 120M2 GIÁ 12 TỶ,12000000000,"480,000",120,10,12,2,1,Quan 6,4000,,
House,BÁN NHÀ HẬU GIANG SÁT CHỢ BÌNH TÂY 120M2 HẺM XE TĂNG CÓ DÒNG TIỀN CHO THUÊ GIÁ CHỈ 12 TỶ,12000000000,"480,000",120,10,12,2,1,Quan 6,4000,,
House,"NHÀ 4 TẦNG 145M2. ĐƯỜNG 7, LINH CHIỂU THỦ ĐỨC. 14.5tỶ.",14500000000,"580,000",145,5,29,1,1,Thanh pho Thu Đuc,4000,,
House,Bán Nhà Dưới 5 Tỷ HXT Kinh Doanh 4PN Ngay Quang Trung Gò Vấp,4799000000,"191,960",48,4,12,4,5,Quan Go Vap,3999.17,,
House,Đường Phạm Văn Chiêu Quận Gò Vấp Phường 9.,3980000000,"159,200",40,3.2,12.5,2,2,Quan Go Vap,3980,,
House,Đường Phạm Văn Chiêu Quận Gò Vấp Phường 9.,3980000000,"159,200",40,3.2,12.5,2,2,Quan Go Vap,3980,,
House,Bán nhà mặt tiền hẻm 40m2 gia chi  nhỉnh 3ty9 quận gò vấp,3980000000,"159,200",40,3,12,2,2,Quan Go Vap,3980,,
House,"Bán nhà biệt thự VIP KDC Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, TP HCM giá 48 tỷ",48000000000,"1,920,000",484,19,20,7,7,Quan 12,3966.94,,
Apartment,BÁN CĂN HỘ 3PN VINHOMES GRAND PARK QUẬN 9 101M2 VIEW ĐẸP GIÁ TỐT CHỈ NHỈNH 10T,10000000000,"400,000",101,10,10,3,2,Thanh pho Thu Đuc,3960.4,,
House,"Nhà lô nhì hẻm xe hơi trung tâm quận 7, đường Huỳnh Tấn Phát, 4.6x17, 2 tầng, sổ riêng không lộ",8500000000,"340,000",86,4.6,17,4,2,Quan 7,3953.49,,
House,"Nhàbán HXT HuỳnhThịHai, P.Tân Chánh Hiệp Q.12 Trệt 2lầu S.Thượng 3tỷ95",3950000000,"158,000",40,4,10,4,4,Quan 12,3950,,
House,"Bán nhà, bán nhà riêng tại Đường Lê Văn Thọ, Phường 16, Quận Gò Vấp, TP HCM giá 7 tỷ  500 triệu",7500000000,"300,000",76,4,19,4,4,Quan Go Vap,3947.37,,
House,"Bán nhà, bán nhà riêng tại Đường Lê Văn Thọ, Phường 16, Quận Gò Vấp, TP HCM giá 7 tỷ  500 triệu",7500000000,"300,000",76,4,19,4,4,Quan Go Vap,3947.37,,
House,"Bán nhà, bán nhà riêng tại Đường Lê Văn Thọ, Phường 16, Quận Gò Vấp, TP HCM giá 7 tỷ  500 triệu",7500000000,"300,000",76,4,19,4,4,Quan Go Vap,3947.37,,
House,"Bán nhà, bán nhà riêng tại Đường Lê Văn Thọ, Phường 16, Quận Gò Vấp, TP HCM giá 7 tỷ  500 triệu",7500000000,"300,000",76,4,19,4,4,Quan Go Vap,3947.37,,
House,"Bán nhà, bán nhà riêng tại Đường Lê Văn Thọ, Phường 16, Quận Gò Vấp, TP HCM giá 7 tỷ  500 triệu",7500000000,"300,000",76,4,19,4,4,Quan Go Vap,3947.37,,
House,"BÁN NHÀ NGUYỄN THỊ THẬP TÂN PHÚ QUẬN 7, HXH, 2 TẦNG 70M2, 6.9 TỶ Ỷ",6900000000,"276,000",70,5,14,3,3,Quan 7,3942.86,,
House,"Bán Nhà: CHỈ 6.7 tỷ! Nhà siêu đẹp, mới 5 tầng, 68m2. 1/ Phan Huy Ích. SHR. Ngộp Bank",6700000000,"268,000",68,5.3,13,4,5,Quan Go Vap,3941.18,,
House,Khu Vực Hiếm Nhà Bán Đường Dạ Nam Quận 8 Phường 2.,6500000000,"260,000",66,4.4,16,3,2,Quan 8,3939.39,,
House,"CHỦ KẸT TIỀN GIẢM THÊM 400TR - GIÁ MỚI 6.5 TỶ. NHÀ 4 TẦNG BTCT, P2Q8.",6500000000,"260,000",66,4.1,17,5,4,Quan 8,3939.39,,
